issn	title	articles	links	coverage
0161-8202	The Journal of arachnology	369	359	97
0311-5518	Alcheringa	365	365	100
0022-149X	Journal of helminthology	364	343	94
0041-1752	Annals of the Transvaal Museum	361	286	79
0370-4327	Redia	350	41	12
0022-1511	Journal of herpetology	349	349	100
0774-5915	Annales de la Société Entomologique de Belgique	347	89	26
0012-9402	Eclogae geologicae Helvetiae	344	34	10
0005-6219	Basteria	343	0	0
0022-2372	Journal of mammalogy	340	314	92
0035-9211	Proceedings of the Royal Society of Victoria	340	81	24
0076-8413	Occasional papers of the Museum of Zoology, University of Michigan	336	250	74
0368-2935	The Journal of the Linnean Society. Zoology	335	243	73
0073-4721	Iheringia. Série zoologia	333	282	85
0013-8827	Entomologische berichten	332	18	5
0003-9365	Archiv für Protistenkunde	331	203	61
0065-1729	Acta zoologica Lilloana	330	4	1
1265-3357	Coléoptères	330	0	0
0006-7172	Bonner zoologische Beiträge : Herausgeber: Zoologisches Forschungsinstitut und Museum Alexander Koenig, Bonn	329	328	100
0007-9723	Cahiers de biologie marine	329	5	2
0003-0031	The American midland naturalist	328	317	97
0548-1686	Neotropica	326	0	0
0005-805X	Beiträge zur Entomologie / Deutches Entomologisches Institut	325	1	0
0375-0825	Revista de entomologia	324	1	0
0065-1710	Acta zoologica Cracoviensia / Polska Akademia Nauk, Instytut Zoologiczny, Oddział w Krakowie	317	4	1
0002-9599	The American journal of science	316	180	57
0301-4223	New Zealand journal of zoology	315	307	97
0001-5202	Acta arachnologica	310	310	100
0037-2870	Publications of the Seto Marine Biological Laboratory	310	306	99
0524-6431	Bulletin of the British Museum (Natural History). Entomology	308	306	99
0945-3954	Studia dipterologica : Zeitschrift für Taxonomie, Systematik, Ökologie und Faunistik der Zweiflügler (Diptera)	308	3	1
0340-4943	Mitteilungen der Münchner Entomologischen Gesellschaft	307	233	76
0341-0145	Stuttgarter Beiträge zur Naturkunde. Serie A, Biologie	303	195	64
1590-8399	Bollettino del Museo civico di storia naturale di Verona. Botanica, zoologia	303	7	2
0004-959X	Australian journal of zoology	302	302	100
0375-0183	Odonatologica	302	2	1
0073-134X	Proceedings of the Hawaiian Entomological Society	300	246	82
0008-4077	Canadian journal of earth sciences	298	294	99
0037-9026	Comptes rendus des séances de la Société de biologie et de ses filiales	297	75	25
0035-1598	Revue de micropaléontologie	296	87	29
0030-9923	Pakistan journal of zoology	296	31	10
0078-8597	Memoir / The Paleontological Society	296	2	1
0366-1326	Bulletin mensuel de la Société linnéenne de Lyon	295	1	0
0007-1498	Bulletin of the British Museum (Natural History). Zoology	294	289	98
0021-8375	Journal für Ornithologie	293	132	45
0082-6340	Treubia	290	6	2
0255-0105	Annalen des Naturhistorischen Museums in Wien. Serie B, Für Botanik und Zoologie	288	261	91
0071-0806	Entomologische mitteilungen	286	259	91
0254-5853	880-01 Dong wu xue yan jiu = Zoological research / "Dong wu xue yan jiu" bian ji wei yuan hui bian ji	282	280	99
0030-8870	Pacific science	282	251	89
0300-5267	SHILAP : revista de lepidopterología	279	1	0
0024-0966	Journal of the Lepidopterists' Society	276	232	84
0019-1019	The Ibis	276	84	30
0289-0003	Zoological science	275	256	93
0025-1194	Proceedings of the Malacological Society of London	274	98	36
0932-4739	European journal of protistology	271	154	57
0001-7302	880-01 Dong wu xue bao = Acta zoologica Sinica / Zhongguo dong wu xue hui bian ji	271	8	3
0067-4745	Beaufortia	271	4	1
0013-886X	Entomologisk tidskrift / Entomologiska föreningen i Stockholm	269	4	1
0195-6671	Cretaceous research	264	260	98
0031-1049	Papéis avulsos de zoologia	264	128	48
0136-006X	Arthropoda selecta	264	5	2
1000-1786	880-01 Dong wu xue ji kan = Sinozoologia / Zhongguo ke xue yuan dong wu yan jiu suo bian ji	263	0	0
0376-2750	Records of the South Australian Museum / Public Library, Museum, and Art Gallery of South Australia	262	259	99
0862-660X	Časopis České společnosti entomologické = Acta Societatis Entomologicae Bohemiae	261	1	0
0424-7086	880-01 Eisei dōbutsu = Japanese journal of sanitary zoology	260	257	99
1388-5545	Nematology : international journal of fundamental and applied nematological research	260	253	97
0017-3614	The Great Basin naturalist	255	236	93
0368-8720	Anales del Instituto de Biología, Universidad Nacional Autónoma de México. Serie Zoología	254	84	33
1025-4870	Entomologisches Nachrichtenblatt / Hrsg.: Arbeitsgemeinschaft Österreichischer Entomologen	253	6	2
0758-4113	Bulletin de la Société d'histoire naturelle de Toulouse	252	0	0
0044-5118	880-03 Dōbutsugaku zasshi	251	110	44
0361-6525	Sociobiology	251	2	1
1070-9428		246	243	99
0013-8886	L'Entomologiste	246	0	0
0071-1268	Esakia : occasional papers of the Hikosan Biological Laboratory in Entomology	239	189	79
1961-9049	Bulletin de la Société de pathologie exotique	239	5	2
0096-0446		239	4	2
1230-2821	Acta parasitologica / Witold Stefański Institute of Parasitology	238	142	60
0016-7568	Geological magazine	237	100	42
0368-0177	Bulletin de l'Institut Royal des Sciences Naturelles de Belgique = Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen	237	14	6
0165-0521	Studies on neotropical fauna and environment	236	224	95
0556-655X	Revista española de micropaleontología	234	1	0
1134-6094	Boletín de la SEA	232	41	18
0524-4994	Bulletin / British Arachnological Society	232	10	4
0341-4116	Courier Forschungsinstitut Senckenberg : CFS / herausgegeben von der Senckenbergischen Naturforschenden Gesellschaft Frankurt a.M	232	0	0
0021-5090	880-01 Gyoruigaku zasshi	231	231	100
0034-7744	Revista de biología tropical	231	167	72
0342-7536	Nota lepidopterologica	231	101	44
1210-4108	Folia Heyrovskyana	231	5	2
0035-6883	Rivista italiana di paleontologia e stratigrafia	231	1	0
0037-3680	880-01 Transactions of the Shikoku Entomological Society = Shikoku Konchū Gakkai kaihō / [henshūsha Ehime Daigaku Nōgakubu Konchūgaku Kenkyūshitsu]	230	0	0
1383-4517	Contributions to zoology = Bijdragen tot de dierkunde	229	50	22
0030-0950	The Ohio journal of science	227	227	100
1342-1670	Species diversity : an international journal for taxonomy, systematics, speciation, biogeography, and life history research of animals / Japanese Society of Systematic Zoology	227	214	94
1343-8786	Entomological science	225	220	98
1223-2254	Travaux du Muséum national d'histoire naturelle "Grigore Antipa."	224	197	88
0024-1652	Zoologische verhandelingen / uitgegeven door het Rijksmuseum van Natuurlijke Historie te Leiden (Ministerie van Cultuur, Recreatie en Maatschappelijk Werk)	224	182	81
0022-0019	Journal of conchology	224	1	0
0006-9698	Breviora	223	222	100
0459-8113	Contributions in science / Los Angeles County Museum	222	207	93
0237-5419	Opuscula Zoologica Instituti Zoosystematici et Oecologici Universitatis Budapestinensis	221	213	96
0015-0754	Fieldiana. Zoology	221	161	73
0001-3765	Anais da Academia Brasileira de Ciências	220	17	8
0785-8760	Entomologica Fennica	220	8	4
0013-8916	The Entomologist's record and journal of variation	220	0	0
0036-4827	Sarsia	219	219	100
1021-5506	Zoological studies	219	179	82
0004-8038	The Auk	218	37	17
0018-9634	Bulletin de l'Institut fondamental d'Afrique noire. Série A, Sciences naturelles	217	0	0
0366-3450	Bulletin de la Société des Sciences Naturelles du Maroc / Empire Chérifien	217	0	0
0814-1827	Memoirs of the Museum of Victoria	214	206	96
1059-1559		213	145	68
0392-758X	Bollettino / Museo regionale di scienze naturali	213	1	0
0029-4594	Notulae entomologicae	213	0	0
1362-1971	Systematic and applied acarology	210	16	8
0287-0223	880-01 Dōbutsu Bunrui Gakkai shi	209	209	100
0300-9386	Bulletin du Muséum national d'histoire naturelle. Zoologie	209	205	98
0399-0974	Cybium	209	54	26
1018-192X	KOREAN JOURNAL OF SYSTEMATIC ZOOLOGY	209	3	1
0072-9612	Mitteilungen aus dem Hamburgischen Zoologischen Museum und Institut	209	0	0
0027-7452	Nachrichtenblatt der Bayerischen Entomologen	208	198	95
0952-8369	Journal of zoology : proceedings of the Zoological Society of London	208	197	95
0256-971X	Uttar Pradesh journal of zoology	207	1	0
0399-1075	Revue franc̜aise d'aquariologie, herpétologie	206	13	6
1399-560X	Insect systematics & evolution	204	200	98
0037-9409	Bulletin de la Société géologique de France	204	17	8
1005-295X	880-01 Entomologia Sinica = Zhongguo kun chong ke xue	203	202	100
1243-4442	Mémoires du Muséum national d'histoire naturelle	202	16	8
0022-8850	The University of Kansas science bulletin	201	198	99
0771-0488	Revue zoologique africaine	201	125	62
0262-821X	Journal of micropalaeontology : the journal of the British Micropalaeontological Society	200	199	100
0073-6600	Proceedings of the Indian National Science Academy. Part B, Biological sciences	200	121	61
0393-4683	Bollettino dei musei di zoologia ed anatomia comparata della R. Università di Torino	197	32	16
0716-078X	Revista chilena de historia natural / Sociedad de Biología de Chile	196	189	96
0096-8749	Smithsonian miscellaneous collections	196	11	6
0433-8731	Sitzungs-berichte der Gesellschaft naturforschender Freunde zu Berlin	195	14	7
0034-740X	Revista chilena de entomología : publicación de la Faculdad de Filosofía y Educación, Universidad de Chile, y de la Sociedad Chilena de Entomología	194	152	78
0071-0792	Entomologické problémy : sborník Slovenskej entomologickej spoločnosti pri Slovenskej akadémii vied	194	6	3
0811-3653	The Beagle : occasional papers of the Northern Territory Museum of Arts and Sciences	193	184	95
0365-6136	Archiv für Naturgeschichte	192	21	11
0945-9871	Aqua : journal of ichthyology and aquatic biology	192	1	1
0013-8894	Entomologist's gazette	192	0	0
0003-9136	Archiv für Hydrobiologie	191	0	0
0303-6758	Journal of the Royal Society of New Zealand	189	182	96
1026-051X	880-01 Far Eastern entomologist = Dalʹnevostochnyĭ ėntomolog	189	164	87
0022-300X	Journal of nematology	187	187	100
1341-8998	Ichthyological research	187	187	100
0028-0836	Nature	187	175	94
1252-607X	Parasite : journal de la Société française de parasitologie	186	154	83
0394-6975	Tropical zoology / Centro di studio per la faunistica ed ecologia tropicali del CNR	184	165	90
0260-1230	The Journal of molluscan studies	183	155	85
0370-1263	Phytophylactica. Plantbeskermingswetenskappe en mikrobiologie. Plant protection sciences and microbiologie	182	0	0
1021-1020	Dipterological research	181	1	1
0375-2909	Steenstrupia	180	5	3
0096-1191	Journal of foraminiferal research	179	58	32
1005-9628	ACTA ARACHNOLOGICA SINICA	178	0	0
0065-1478	Acta parasitologica Polonica	177	0	0
1082-6467		174	173	99
0003-4088	Annales de limnologie = International journal of limnology	173	173	100
1679-6225	Neotropical ichthyology : official journal of the Sociedade Brasileira de Ictiologia	173	173	100
0362-9236	Bulletin - United States National Museum	173	75	43
0749-8934	Proceedings of the New England Zoölogical Club	172	9	5
0031-0204	Transactions and proceedings of the Palaeontological Society of Japan. Nihon Koseibutsu Gakkai hōkoku kiji	172	1	1
0183-9187	Revue de nématologie	171	169	99
0753-3969	Annales de paléontologie	169	36	21
1210-5759	European journal of entomology	166	159	96
1375-7474	Novapex : trimestriel de la Société Belge de Malacologie = Novapex : quarterly of the Belgian Malacological Society	165	42	25
0375-0221		165	3	2
0341-0153	Stuttgarter Beiträge zur Naturkunde. Serie B. Geologie und Paläontologie	165	1	1
0391-7746	Animalia / Instituto di biologia animale, Università di Catania	165	0	0
0008-6452	Caribbean journal of science	164	158	96
0303-6960	Indian journal of nematology : official publication of the Nematological Society of India	163	1	1
0255-9587	Bulletin of the Zoological Survey of India	162	0	0
0007-1471	Bulletin of the British Museum (Natural History). Geology	161	141	88
1684-4866	Evraziatskiĭ ėntomologicheskiĭ zhurnal = Euroasian entomological journal	159	5	3
0080-5947	Transactions of the San Diego Society of Natural History	155	134	86
1000-7083	Sichuan dong wu = Sichuan dongwu = Sichuan journal of zoology / Sichuan sheng ye sheng dong wu bao hu xie hui, Sse-chuan sheng dong wu xue hui, Sichuan sheng ji sheng chong bing fang zhi yan jiu suo ; Jiang Dequan zhu bian	155	8	5
1280-9659	Geodiversitas	154	49	32
1211-376X	Acta Societatis Zoologicae Bohemicae	154	4	3
0212-3010	Iberus : revista de la Sociedad Española de Malacología	153	69	45
0003-0147	The American naturalist	153	4	3
0367-5041	Graellsia / editada por el Instituto Español de Entomología del Consejo Superior de Investigaciones Científicas	152	92	61
0132-8077	Acarina : Russkiǐ akarologicheskiǐ zhurnal + Russian journal of acarology	151	5	3
0068-6417	University of California publications in entomology	150	7	5
1368-8774	International journal of nematology	150	2	1
0065-6755	Amazoniana	150	1	1
0389-1445	Edaphologia / the Japanese Society of Soil Zoology	149	29	19
1342-8144	Paleontological research	148	138	93
0003-4983	Annals of tropical medicine and parasitology	148	7	5
0001-4087	Bulletin de l'Acádemie Polonaise des sciences. Série des sciences biologiques	148	0	0
1681-5556	African invertebrates : a journal of biodiversity research	147	140	95
0006-3088	Biológia	147	51	35
1021-3589	African entomology : journal of the Entomological Society of Southern Africa	146	111	76
0374-6429	Bulletin. Biologie	146	5	3
0366-3515	Bulletin de la Société philomathique de Paris	143	14	10
0391-9749	Nematologia mediterranea	142	129	91
0081-3745	Spolia zeylanica	142	27	19
0044-3778	Zeitschrift für wissenschaftliche Zoologie	142	2	1
0078-9747	Mémoires du Muséum national d'histoire naturelle. Série A, Zoologie	142	1	1
1371-7057		142	0	0
0034-9623	Revista ibérica de parasitología	141	116	82
0023-3374	Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and medical sciences	141	24	17
0067-2238	The Australian zoologist	140	134	96
1435-1951	Deutsche entomologische Zeitschrift / herausgegeben von dem Entomologischen Verein in Berlin in Verbindung mit anderen gelehrten Gesellschaften und Privaten	140	102	73
0044-5967	Acta amazonica	140	20	14
1306-3022	Munis entomology & zoology	140	4	3
0080-4703	Papers and proceedings of the Royal Society of Tasmania	139	104	75
0021-5171	Kiseichūgaku zasshi = Japanese journal of parasitology	139	1	1
0370-2952	Quarterly journal of microscopical science	137	13	9
0029-4608	Notulae naturae of the Academy of Natural Sciences of Philadelphia	137	4	3
0138-6476	Poeyana / Instituto de Zoología, Academia de Ciencias de Cuba	137	0	0
0075-1243	Israel journal of entomology	135	3	2
0240-8759	Vie et milieu / Laboratoire Arago, Université P. et M. Curie	135	0	0
0026-9786	Monitore zoologico italiano	134	4	3
0232-5535	Entomologische Nachrichten und Berichte	134	0	0
0210-8984	Boletin de la Asociación Española de Entomologia	133	5	4
0373-6709	Physis	132	1	1
0006-3185	The biological bulletin	131	127	97
0373-8981	Entomologische Abhandlungen	131	5	4
0031-8884	Phycologia	130	31	24
0505-205X	Bollettino del Museo civico di storia naturale di Venezia	130	0	0
0136-0027	Ruthenica : Rossiĭskiĭ malakologicheskiĭ zhurnal = Russian malacological journal	129	1	1
1320-6133	The Australian entomologist	128	0	0
0013-8851	Entomologiske meddelelser	127	2	2
0029-814X	880-01 Hai yang yu hu zhao = Oceanologia et limnologia Sinica / Zhongguo hai yang hu zhao xue hui bian ji	127	0	0
0392-7296	Giornale italiano di entomologia	127	0	0
0067-8716	Bulletin of the Bio-geographical Society of Japan = Nihon Seibutsuchiri Gakkai Kaiho	126	0	0
1001-4276	880-01 Wuyi ke xue = Wuyi science journal	126	0	0
0083-5986	Memoirs of the National Museum of Victoria, Melbourne	125	123	98
1164-5571	Fundamental and applied nematology	125	123	98
0043-0927	The Wasmann journal of biology	125	49	39
1434-4610	Protist	124	121	98
0165-9464	Bulletin Zoölogisch Museum, Universiteit van Amsterdam	124	0	0
0028-8306	New Zealand journal of geology and geophysics	123	116	94
1525-2647	Comparative parasitology	123	106	86
1026-3632		123	3	2
0776-7943	Journal of African zoology = Revue de zoologie africaine	123	2	2
0012-723X	Durban Museum novitates	123	0	0
0034-6667	Review of palaeobotany and palynology	122	121	99
1945-9440	Transactions of the Linnean Society of London. Zoology	121	70	58
1127-6177	Bollettino del Laboratorio di zoologia generale e agraria della R. scuola superiore d'agricoltura in Portici	121	8	7
1814-3326	Kavkazskij ėntomologičeskij bjulleten = Caucasian entomological bulletin / izd. osuščestvljaetsja pri podderžke Zoologičeskogo Museja MGU, Moskva	121	0	0
0022-3646	Journal of phycology	120	117	98
0035-922X	Journal of the Royal Society of Western Australia	120	3	3
0005-9439	Bernice P. Bishop Museum bulletin	119	0	0
1048-8138	Tropical lepidoptera	119	0	0
0310-9089	Australian journal of zoology. Supplementary series	118	115	97
0370-3878	Records of the Canterbury Museum	118	2	2
0028-0119	Bulletin of the National Science Museum	118	0	0
0369-9846	Proceedings of the Imperial Academy = Teikoku Gakushiin kiji	117	117	100
0893-1348	Bishop Museum occasional papers	115	4	3
0239-751X	Bulletin of the Polish Academy of Sciences. Biology	115	0	0
0025-1461	Mammalia	114	102	89
1866-7384	Entomo-Satsphingia : entomologische beiträge	114	0	0
0386-233X	Dōkutsugaku zasshi = Journal of the Speleological Society of Japan	113	12	11
0011-3891	Current science	113	11	10
0068-6506	University of California publications in zoology	113	5	4
0038-4909	The Southwestern naturalist	112	112	100
0365-4508	Archivos do Museu Nacional do Rio de Janeiro	112	8	7
0869-6918	Russian journal of nematology	112	1	1
0764-4450	Comptes rendus de l'Académie des sciences. Série II, Mécanique, physique, chimie, sciences de l'univers, sciences de la terre	111	88	79
0036-3375	Salamandra	111	38	34
0082-4755	Kokuritsu-kagaku-hakubutsukan-senpō	111	3	3
0373-0972	Palaeontographia Italica	111	2	2
0076-2997	Malacologia	110	108	98
0080-312X	Boletim do Museu Nacional. Nova série, Zoologia	110	3	3
0035-1822	Revue d'écologie et de biologie du sol	110	0	0
0024-1164	Lethaia	109	101	93
1049-233X	Journal of the Helminthological Society of Washington	109	3	3
0722-4060	Polar biology	108	95	88
